Sku_id,Desc,Vendor,Zone,Aisle,Bay,Sell_unit,Pack_1,Pack_2,Pack_3,DOFT
PAP590-01,"FLUID,CORRECTION,LATEX,WT",PAP,B,4,13,EA,EA,BX,,1995/4/2
PAP601-01,"PEN,ROLLER,GELINK,FINE,BE",PAP,B,4,32,EA,EA,DZ,,1996/4/1
PAP602-01,"PEN,ROLLER,GELINK,FINE,RED",PAP,B,4,32,EA,EA,DZ,,1996/4/29
PAP603-01,"PEN,ROLLER,GELINK,FINE,BK",PAP,B,4,32,EA,EA,DZ,,1996/4/1
PAP611-01,"PEN,BALLPT,RUBBERSTIK,MD,BE",PAP,B,4,13,EA,EA,DZ,,1995/4/2
PAP612-01,"PEN,BALLPT,RUBBERSTIK,MD,RD",PAP,B,4,13,EA,EA,DZ,,1995/4/2
PAP613-01,"PEN,BALLPT,RUBBERSTIK,MD,BK",PAP,B,4,14,EA,EA,DZ,,1995/4/2
PAP614-01,"PEN,BALLPT,RUBBERSTIK,MD,GN",PAP,B,4,14,EA,EA,DZ,,1995/4/2
PAP616-01,"PEN,BALLPT,RUBBERSTIK,FN,BE",PAP,B,4,14,EA,EA,DZ,,1995/4/2
PAP617-01,"PEN,BALLPT,RUBBERSTIK,FN,RD",PAP,B,4,14,EA,EA,DZ,,1995/4/2
PAP618-01,"PEN,BALLPT,RUBBERSTIK,FN,BK",PAP,B,4,14,EA,EA,DZ,,1995/4/2
PAP621-01,"PEN,METAL ROLLER,FINE,BLUE",PAP,B,4,14,EA,EA,DZ,,1995/4/2
PAP622-01,"PEN,METAL ROLLER,FINE,RED",PAP,B,4,14,EA,EA,DZ,,1995/4/2
PAP623-01,"PEN,METAL ROLLER,FINE,BLACK",PAP,B,4,14,EA,EA,DZ,,1995/4/2
PAP626-01,"PEN,METAL ROLLR,MICRO-FN,BE",PAP,B,4,14,EA,EA,DZ,,1995/4/2
PAP627-01,"PEN,METAL ROLLR,MICRO-FN,RD",PAP,B,4,14,EA,EA,DZ,,1995/4/2
PAP628-01,"PEN,METAL ROLLR,MICRO-FN,BK",PAP,B,4,15,EA,EA,DZ,,1995/4/2
PAP690-64,"PENCIL,DYNAGRIP PL50,.5MM",PAP,B,4,15,EA,EA,PK,,1996/8/5
PAP710-01,"FLUID,CORRECTION,F/COPIES",PAP,B,4,15,EA,EA,BX,,1995/4/2
PAP747-01,"FLUID,CORRECTION,PEN&INK",PAP,B,4,15,EA,EA,BX,,1995/4/2
PAP790-68,"PEN,ECO,BALL,DISP,ASST",PAP,B,4,22,PK,EA,PK,,1996/12/16
PAP800-61,"PEN,BALL PT,DYNAGRIP RT30",PAP,B,4,22,EA,EA,BX,,1995/4/2
PAP821-11,"PEN,MARKG,PLAS PT,XF,BLUE",PAP,B,4,22,EA,EA,DZ,,1995/8/27
PAP822-11,"PEN,MARKG,PLAS PT,X-F,RED",PAP,B,4,22,EA,EA,DZ,,1995/4/2
PAP823-11,"PEN,MARKG,PLAS PT,X-F,BLACK",PAP,B,4,22,EA,EA,DZ,,1995/4/2
PAP831-01,"MARKER,ULTRAFINE,FLAIR,BLUE",PAP,B,4,23,EA,EA,DZ,,1995/4/2
PAP832-01,"MARKER,ULTRAFINE,FLAIR,RED",PAP,B,4,23,EA,EA,DZ,,1995/4/2
PAP833-01,"MARKER,ULTRAFINE,FLAIR,BLCK",PAP,B,4,23,EA,EA,DZ,,1995/4/2
PAP834-01,"MARKER,ULTRAFINE,FLAIR,GREN",PAP,B,4,23,EA,EA,DZ,,1995/4/2
PAP841-01,"MARKER,FLAIR,W/PTGUARD,BLUE",PAP,B,4,23,EA,EA,DZ,,1995/4/2
PAP842-01,"MARKER,FLAIR,W/PTGUARD,RED",PAP,B,4,23,EA,EA,DZ,,1995/4/2
PAP843-01,"MARKER,FLAIR,W/PTGUARD,BLCK",PAP,B,4,24,EA,EA,DZ,,1995/4/2
PAP844-01,"MARKER,FLAIR,W/PTGUARD,GREN",PAP,B,4,24,EA,EA,DZ,,1995/4/2
PAP845-01,"MARKER,FLAIR,W/PTGUARD,PURP",PAP,B,4,24,EA,EA,DZ,,1995/4/2
PAP848-01,"MARKER,FLAIR,W/PTGUARD,BRWN",PAP,B,4,24,EA,EA,DZ,,1995/4/2
PAP859-01,"MARKER,FLAIR,W/PTGUARD,ORNG",PAP,B,4,24,EA,EA,DZ,,1995/4/2
PAP861-11,"PEN,MARKG,POROUS PT,MED,BLU",PAP,B,4,24,EA,EA,DZ,,1995/4/2
PAP862-11,"PEN,MARKG,POROUS PT,MED,RED",PAP,B,4,25,EA,EA,DZ,,1995/4/2
PAP863-11,"PEN,MARKG,POROUS PT,MED,BLK",PAP,B,4,25,EA,EA,DZ,,1995/4/2
PAP864-11,"PEN,MARKG,POROUS PT,MED,GRN",PAP,B,4,25,EA,EA,DZ,,1995/4/2
PAP871-01,"BALL PEN,RETRACTABLE,MED,BE",PAP,B,4,25,EA,EA,DZ,,1995/4/2
PAP873-01,"BALL PEN,RETRACTABLE,MED,BK",PAP,B,4,25,EA,EA,DZ,,1995/4/2
PAP876-01,"BALL PEN,RETRACTABLE,FN,BLU",PAP,B,4,25,EA,EA,DZ,,1995/4/2
PAP878-01,"BALL PEN,RETRACTABLE,FN,BLK",PAP,B,4,25,EA,EA,DZ,,1995/4/30
PAP881-01,"MARKER,HARDHEAD,FLAIR,BLUE",PAP,B,4,26,EA,EA,DZ,,1995/4/2
PAP882-01,"MARKER,HARDHEAD,FLAIR,RED",PAP,B,4,26,EA,EA,DZ,,1995/4/2
PAP883-01,"MARKER,HARDHEAD,FLAIR,BLACK",PAP,B,4,26,EA,EA,DZ,,1995/4/2
PAP900-61,"PEN,BALL PT,DYNAGRIP RT50",PAP,B,4,26,EA,EA,BX,,1995/4/2
PAP905-05,"PEN,BALL PT,REFILLABLE,DYGR",PAP,B,4,26,EA,EA,BX,,1995/8/27
PAP911-01,"PEN,BALL PT,XFN,WRITEBRO,BE",PAP,B,4,26,EA,EA,DZ,,1995/4/2
PAP913-01,"PEN,BALL PT,XFN,WRITEBRO,BK",PAP,B,4,26,EA,EA,DZ,,1995/4/2
PAP921-01,"HIGHLIGHTER,FLEXGRIP,BLUE",PAP,B,4,26,EA,EA,DZ,,1995/4/2
PAP924-01,"HIGHLIGHTER,FLEXGRIP,FL.GRN",PAP,B,4,26,EA,EA,DZ,,1995/4/2
PAP926-01,"HIGHLIGHTER,FLEXGRIP,FL.YEL",PAP,B,4,26,EA,EA,DZ,,1995/4/2
PAP927-01,"HIGHLIGHTER,FLEXGRIP,FL.PNK",PAP,B,4,26,EA,EA,DZ,,1995/4/2
PAP931-01,"PEN,BALL PT,MED,WRITEBRO,BE",PAP,B,4,27,EA,EA,DZ,,1995/4/2
PAP932-01,"PEN,BALL PT,MED,WRITEBRO,RD",PAP,B,4,27,EA,EA,DZ,,1995/4/2
PAP933-01,"PEN,BALL PT,MED,WRITEBRO,BK",PAP,B,4,28,EA,EA,DZ,,1995/4/2
PAP951-01,"PEN,BALL,MD,FLEXGP,RTRBL,BE",PAP,B,4,29,EA,EA,DZ,,1995/4/2
PAP952-01,"PEN,FLEXGRIP,RETR,MEPT,RD",PAP,B,4,29,EA,EA,BX,,1995/7/30
PAP953-01,"PEN,BALL,MD,FLEXGP,RTRBL,BK",PAP,B,4,34,EA,EA,DZ,,1995/4/2
PAP956-01,"PEN,BALL,FN,FLEXGP,RTRBL,BE",PAP,B,4,29,EA,EA,DZ,,1995/4/2
PAP957-01,"PEN,FLEXGRIP,RETRAC,FPT,RD",PAP,B,4,29,EA,EA,BX,,1995/7/2
PAP958-01,"PEN,BALL,FN,FLEXGP,RTRBL,BK",PAP,B,4,29,EA,EA,DZ,,1995/4/2
PAP961-01,"PEN,BALL PT,MED,FLEXGRIP,BE",PAP,B,4,34,EA,EA,DZ,,1995/4/2
PAP962-01,"PEN,BALL PT,MED,FLEXGRIP,RD",PAP,B,4,30,EA,EA,DZ,,1995/4/2
PAP963-01,"PEN,BALL PT,MED,FLEXGRIP,BK",PAP,B,4,35,EA,EA,DZ,,1995/4/2
PAP965-01,"PEN,BALL PT,MED,FLEXGRIP,PE",PAP,B,4,30,EA,EA,DZ,,1995/4/2
PAP966-01,"PEN,BALL PT,FN,FLEXGRIP,BE",PAP,B,4,30,EA,EA,DZ,,1995/4/2
PAP967-01,"PEN,BALL PT,FN,FLEXGRIP,RED",PAP,B,4,30,EA,EA,DZ,,1995/4/2
PAP968-01,"PEN,BALL PT,FN,FLEXGRIP,BK",PAP,B,4,36,EA,EA,DZ,,1995/4/2
PAP971-24,"REFILLS,BALL PT,PEN,MD,BLUE",PAP,B,4,30,PK,EA,PK,,1995/4/2
PAP972-24,"REFILLS,BALL PT,PEN,MD,RED",PAP,B,4,30,PK,EA,PK,,1995/4/2
PAP973-24,"REFILLS,BALL PT PEN,MD,BK",PAP,B,4,30,PK,EA,PK,,1995/4/2
PAP981-01,"PEN,ROLLER,FN,FLEXGRIP,BLUE",PAP,B,4,31,EA,EA,DZ,,1995/4/2
PAP982-01,"PEN,ROLLER,FN,FLEXGRIP,RED",PAP,B,4,31,EA,EA,DZ,,1995/4/2
PAP983-01,"PEN,ROLLER,FN,FLEXGRIP,BLK",PAP,B,4,36,EA,EA,DZ,,1995/4/2
PAP986-01,"PEN,ROLLER,XF,FLEXGRIP,BLUE",PAP,B,4,31,EA,EA,DZ,,1996/7/1
PAP988-01,"PEN,ROLLER,XF,FLEXGRIP,BLK",PAP,B,4,31,EA,EA,DZ,,1995/4/2
PAR01633,"PEN,BALL,SLINGER",PAP,B,5,1,EA,EA,BX,,1996/7/1
PAR03012,"SET,CALLIGRAPHY,VECTOR",PAP,B,5,1,ST,ST,BX,,1995/4/2
